ra,dec,e1,e2,w,z_src
213.07186024,2.83590523988,0.1809,-0.1669,13.3683,0.17
222.044026406,2.11804651973,-0.1275,-0.3465,1.7128,0.79
212.822944717,-0.060233213165,-0.2341,0.0186,15.456,0.54
211.986606232,-2.2707311137,0.0659,0.0237,13.2679,0.18
212.764036165,-1.23214362024,0.4,0.2,15.563,0.33
223.824734242,-1.91153496365,0.2257,-0.1813,2.8295,0.33
211.348812482,1.34330557783,0.0023,-0.0211,15.5302,0.34
217.321081631,-2.95504250358,0.737,-0.0772,14.5599,0.3
219.563999308,-1.37804657244,0.0463,-0.0784,4.0408,0.7
216.53453859,0.384803508282,0.3779,-0.5452,15.2936,0.6
222.799827494,-0.119740071428,-0.1161,0.0855,3.0656,0.88
215.819279703,-0.56739044059,-0.0537,0.152,7.3779,0.59
218.590464017,0.826698147767,-0.156,-0.1536,14.3651,0.83
214.243679229,-2.28653007385,-0.383,-0.139,1.858,0.1
216.388550023,-2.31743190053,-0.1756,-0.4868,5.8474,0.52
216.624292074,1.58071241115,-0.16,0.5628,15.2989,0.42
210.837963074,-1.18445896654,-0.0494,0.3045,10.2642,0.79
216.518900192,-0.889704331245,0.0393,-0.2406,15.563,0.29
211.340551332,1.16724655343,0.3485,-0.2011,9.7542,0.63
